"All","Összes",module,Magento_AdminGws
"None","Egyik sem",module,Magento_AdminGws
"Allowed Scopes","Engedélyezett hatókörök",module,Magento_AdminGws
"You need more permissions to delete this item(s): %1.","Az elem, tétel(s): %1 törléséhez több jogosultság szükséges.",module,Magento_AdminGws
"You need more permissions to apply some of the rule updates.","Több jogosultságra van szükség egyes szabályok frissítéseinek alkalmazásához.",module,Magento_AdminGws
"Please assign this entity to a store view.","Kérlek, rendeld az entitást egy webáruház nézethez.",module,Magento_AdminGws
"You can create orders only in an active store.","Csak aktív webáruházban lehet létrehozni rendelést.",module,Magento_AdminGws
"Please assign this item to a store view.","Kérlek, rendeld az elemet egy webáruház nézethez.",module,Magento_AdminGws
"You need more permissions to save this item.","Több jogosultságra van szükség az elem elmentéséhez.",module,Magento_AdminGws
"You need more permissions to delete this item.","Több jogosultságra van szükség az elem törléséhez.",module,Magento_AdminGws
"You need more permissions to view this item.","Több jogosultságra van szükség az elem megtekintéséhez.",module,Magento_AdminGws
"Please specify at least one website or one store group.","Kérlek, adj meg legalább egy weboldalt vagy webáruház csoportot.",module,Magento_AdminGws
"You need more permissions to set All Scopes to a Role.","Több jogosultságra van szükség az összes hatókör egy szerepkörhöz való beállításához.",module,Magento_AdminGws
"Incorrect website ID: %1","Helytelen weboldal ID: %1",module,Magento_AdminGws
"You need more permissions to access website ""%1"".","""%1"" weboldal eléréséhez több jogosultságra van szükség.",module,Magento_AdminGws
"Incorrect store ID: %1","Helytelen webáruház ID: %1",module,Magento_AdminGws
"You need more permissions to save this setting.","Több jogosultságra van szükség a beállítás elmentéséhez.",module,Magento_AdminGws
"Role Scopes","Szerepkör hatókörök",module,Magento_AdminGws
"Custom","Egyedi",module,Magento_AdminGws
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","Nincs jogosultsága elmenteni ezt az elemet az aktuális bolt nézetben. Váltson egy engedélyezett bolt nézetre",module,Magento_AdminGws
"More permissions are needed to delete the ""%1"" item.","További engedélyek szükségesek a ""%1"" elem törléséhez.",module,Magento_AdminGws
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Ezt az entitást ki kell rendelni egy bolt nézethez. Ellenőrizze az entitások hozzárendelését, és próbálkozzon újra.",module,Magento_AdminGws
"Orders can only be completed in an active store. Verify the store and try again.","Megrendeléseket csak aktív boltban lehet leadni. Ellenőrizze a bolt állapotát, és próbálkozzon újra.",module,Magento_AdminGws
"This item needs to be assigned to a store view. Assign item and try again.","Ezt a tételt egy áruházi nézethez kell hozzárendelni. Rendelje hozzá, és próbálkozzon újra.",module,Magento_AdminGws
"More permissions are needed to save this item.","További engedélyek szükségesek az elem mentéséhez.",module,Magento_AdminGws
